POSTCODE,DATE,INDEX
2010,2020-05-04,-0.23386633030663273
2010,2020-05-05,-0.22771162393702316
2010,2020-05-06,-0.462815084981017
2010,2020-05-07,-0.34716866860320583
2010,2020-05-08,-0.2316163752740631
2010,2020-05-09,-0.31123026658014685
2010,2020-05-10,-0.4186982933474842
2010,2020-05-11,-0.48223519143330396
2010,2020-05-12,-0.26555909451735504
2011,2020-01-22,-0.24194677028755754
2011,2020-01-23,-0.24194677028755754
2011,2020-01-24,-0.24194677028755754
2011,2020-01-25,-0.24194677028755754
2011,2020-01-26,-0.24194677028755754
2011,2020-01-27,-0.24194677028755754
2011,2020-01-28,-0.24194677028755754
2011,2020-01-29,-0.24194677028755754
2011,2020-01-30,-0.24194677028755754
2011,2020-01-31,-0.24194677028755754
2011,2020-02-01,-0.24194677028755754
2011,2020-02-02,-0.24194677028755754
2011,2020-02-03,-0.24194677028755754
2011,2020-02-04,-0.24194677028755754
2011,2020-02-05,-0.24194677028755754
2011,2020-02-06,-0.24194677028755754
2011,2020-02-07,-0.24194677028755754
2011,2020-02-08,-0.24194677028755754
